#comment:								
#pole shoe:	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I [A]	H [mT]	hallErr	avgDiff	errDiff	avgSum	errSum	Norm	errNorm
1.40000	77.29190	0.24618	0.00006	0.00007	-0.00589	0.00006	-0.05321	0.15197
1.30000	71.76361	0.47398	0.00016	0.00009	-0.00590	0.00008	-0.06773	0.36690
1.20000	67.89178	0.36994	0.00023	0.00007	-0.00591	0.00005	-0.14090	0.11813
1.10000	63.41904	0.29473	0.00023	0.00016	-0.00586	0.00006	0.06277	0.23583
1.00000	58.44856	0.48392	0.00020	0.00006	-0.00583	0.00005	0.16499	0.23141
0.90000	54.15822	0.41320	0.00027	0.00017	-0.00589	0.00005	-0.07379	0.15179
0.80000	50.03252	0.33713	0.00040	0.00007	-0.00584	0.00006	0.10494	0.24959
0.70000	44.24893	0.49627	0.00029	0.00014	-0.00588	0.00005	-0.01805	0.09834
0.60000	40.29901	0.26608	0.00012	0.00014	-0.00588	0.00005	-0.01894	0.16710
0.50000	35.20889	0.23184	0.00013	0.00011	-0.00582	0.00003	0.18110	0.12298
0.40000	31.69568	0.39118	0.00018	0.00013	-0.00602	0.00004	-0.51845	0.17909
0.30000	26.63001	0.68730	0.00044	0.00013	-0.00583	0.00005	0.14293	0.25919
0.20000	22.37592	0.38568	0.00027	0.00012	-0.00595	0.00007	-0.25493	0.26454
0.10000	17.50799	0.41000	0.00031	0.00014	-0.00583	0.00006	0.14178	0.23759
-0.00000	13.51730	0.40297	0.00031	0.00025	-0.00587	0.00003	-0.01024	0.18629
-0.10000	7.85821	0.32220	0.00037	0.00014	-0.00589	0.00007	-0.06350	0.18892
-0.20000	2.27614	0.36372	0.00022	0.00020	-0.00595	0.00004	-0.27198	0.20335
-0.30000	-0.57400	0.29168	0.00042	0.00020	-0.00586	0.00006	0.04430	0.28410
-0.40000	-6.03512	0.78982	0.00034	0.00022	-0.00590	0.00005	-0.10944	0.13443
-0.50000	-10.59279	0.48806	0.00027	0.00020	-0.00593	0.00003	-0.19315	0.10049
-0.60000	-15.83207	0.43698	0.00018	0.00018	-0.00590	0.00006	-0.08048	0.21557
-0.70000	-19.09389	0.22464	0.00035	0.00016	-0.00591	0.00004	-0.12774	0.12603
-0.80000	-24.41612	0.42716	0.00008	0.00022	-0.00583	0.00004	0.16905	0.13311
-0.90000	-29.14407	0.80067	0.00020	0.00013	-0.00582	0.00002	0.18646	0.07692
