#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
7.00000	312.82778	0.28512	0.06892	0.00059	0.07449	0.00004	0.47872	0.01867
6.90000	308.60074	0.22915	0.06821	0.00082	0.07443	0.00007	0.45834	0.02803
6.80000	305.38277	0.50849	0.06879	0.00133	0.07432	0.00005	0.42999	0.01049
6.70000	302.07258	0.34678	0.06983	0.00117	0.07439	0.00004	0.45730	0.01906
6.60000	298.39762	0.45501	0.06841	0.00138	0.07442	0.00004	0.45493	0.01059
6.50000	294.59306	0.24195	0.06889	0.00171	0.07439	0.00009	0.44965	0.02239
6.40000	290.57330	0.35577	0.06691	0.00041	0.07434	0.00006	0.42199	0.01563
6.30000	287.36241	0.51289	0.06612	0.00040	0.07435	0.00006	0.41906	0.01852
6.20000	282.92972	0.47478	0.06584	0.00043	0.07449	0.00006	0.45785	0.02460
6.10000	279.11472	0.40092	0.06627	0.00117	0.07448	0.00003	0.45839	0.01158
6.00000	276.15246	0.35832	0.06416	0.00177	0.07440	0.00008	0.42144	0.01546
5.90000	271.13345	0.27977	0.06449	0.00077	0.07443	0.00008	0.43318	0.01867
5.80000	267.17599	0.35495	0.06452	0.00037	0.07440	0.00005	0.42263	0.01918
5.70000	263.71307	0.37713	0.06531	0.00076	0.07436	0.00007	0.41588	0.02353
5.60000	258.97584	0.51840	0.06468	0.00069	0.07446	0.00006	0.44281	0.01517
5.50000	255.73507	0.50190	0.06477	0.00133	0.07447	0.00004	0.44702	0.01028
5.40000	251.43537	0.33300	0.06397	0.00118	0.07445	0.00005	0.43320	0.02719
5.30000	247.38629	0.32506	0.06474	0.00094	0.07443	0.00005	0.43362	0.00959
5.20000	243.40110	0.29637	0.06562	0.00073	0.07432	0.00004	0.40596	0.00875
5.10000	238.27584	0.18381	0.06583	0.00104	0.07441	0.00005	0.43494	0.01639
5.00000	234.96536	0.45538	0.06450	0.00085	0.07442	0.00006	0.42838	0.01928
4.90000	230.84215	0.44416	0.06289	0.00123	0.07445	0.00002	0.42832	0.01126
4.80000	226.02280	0.40557	0.06313	0.00101	0.07443	0.00006	0.42391	0.01212
4.70000	221.78351	0.49293	0.06285	0.00097	0.07444	0.00006	0.42436	0.01943
4.60000	218.51517	0.35165	0.06314	0.00057	0.07439	0.00004	0.41077	0.00913
4.50000	214.70883	0.38433	0.06210	0.00087	0.07438	0.00006	0.40258	0.00675
4.40000	209.89668	0.15432	0.06199	0.00079	0.07442	0.00002	0.41144	0.01659
4.30000	205.67996	0.37066	0.06191	0.00124	0.07440	0.00004	0.40487	0.02093
4.20000	200.74084	0.34099	0.06147	0.00085	0.07447	0.00007	0.42459	0.02244
4.10000	196.14892	0.51374	0.06099	0.00110	0.07437	0.00003	0.39022	0.00946
4.00000	192.47943	0.22506	0.06142	0.00073	0.07433	0.00003	0.38116	0.01094
3.90000	187.56942	0.10654	0.06107	0.00080	0.07443	0.00003	0.40994	0.01381
3.80000	183.52253	0.26379	0.06083	0.00083	0.07442	0.00001	0.40472	0.00958
3.70000	178.71606	0.29358	0.06040	0.00074	0.07443	0.00002	0.40303	0.01164
3.60000	174.77047	0.21537	0.06032	0.00081	0.07443	0.00007	0.40237	0.01955
3.50000	171.01385	0.58229	0.06014	0.00111	0.07445	0.00003	0.40724	0.01242
