# saved on 06.03.2022 by lrlunin
#  exported data from ptb bessy evaluation on 08102020
# fit exported with good x finess, check 5. Re-function fit.ipynb for source fit function and coefficients
#  photon energy [eV], fit response [ADU/photon],  fit -> quantum efficiency [%]
4.517936874518860577e+02,1.887247454898235688e+01,2.759587082281721448e-01
4.532332563510392447e+02,1.912341054175905342e+01,2.787398057571136567e-01
4.546728252501924317e+02,1.937922698367638219e+01,2.815742038862432128e-01
4.561123941493456186e+02,1.963030887057786344e+01,2.843221358135835097e-01
4.575519630484988625e+02,1.988578795575861946e+01,2.871162643382735857e-01
4.589915319476520494e+02,2.014285275044169410e+01,2.899156890875011494e-01
4.604311008468052364e+02,2.039788703415861093e+01,2.926684749253489759e-01
4.618706697459584234e+02,2.065767076434190841e+01,2.954720334405706028e-01
4.633102386451116104e+02,2.091568359480285366e+01,2.982329189325185759e-01
4.647498075442647973e+02,2.117508129886421031e+01,3.009963861577783506e-01
4.661893764434179843e+02,2.143921463713948228e+01,3.038098940129135839e-01
4.676289453425712281e+02,2.169815667636877166e+01,3.065327412516651306e-01
4.690685142417244151e+02,2.196157497448967533e+01,3.093019183123528748e-01
4.705080831408776021e+02,2.222678490089693071e+01,3.120793058869579806e-01
4.719476520400307891e+02,2.248917288950741167e+01,3.148002487996314769e-01
4.733872209391839760e+02,2.275614635503720606e+01,3.175686346191670673e-01
4.748267898383371630e+02,2.302203057999532732e+01,3.203050795986329691e-01
4.762663587374903500e+02,2.328784148727599401e+01,3.230239651654244759e-01
4.777059276366435938e+02,2.355820148646374079e+01,3.257893739575222769e-01
4.791454965357967808e+02,2.382484131872270439e+01,3.284868735881465440e-01
4.805850654349499678e+02,2.409393982372773024e+01,3.312020103647905223e-01
4.820246343341031547e+02,2.436718443965985159e+01,3.339577529876617823e-01
4.834642032332563417e+02,2.463492260712625637e+01,3.366218421398562421e-01
4.849037721324095287e+02,2.490704610752523607e+01,3.393298582615036918e-01
4.863433410315627157e+02,2.518121604727906160e+01,3.420496408671547250e-01
4.877829099307159026e+02,2.545211174909073293e+01,3.447090255312743046e-01
4.892224788298691465e+02,2.572735588501467419e+01,3.474114788112204200e-01
4.906620477290223334e+02,2.600273132521158104e+01,3.500998423409028004e-01
4.921016166281755204e+02,2.627653322188710661e+01,3.527513529115283153e-01
4.935411855273287074e+02,2.655464152320653426e+01,3.554450385807439439e-01
4.949807544264818944e+02,2.683184623585033535e+01,3.581109962415209846e-01
4.964203233256350813e+02,2.710949336366685714e+01,3.607673794524622335e-01
4.978598922247882683e+02,2.739143164763170546e+01,3.634653413967166569e-01
4.992994611239415121e+02,2.767062983873561421e+01,3.661114916292987354e-01
5.007390300230946991e+02,2.795120762776229029e+01,3.687606281403891795e-01
5.021785989222478861e+02,2.823603790725753271e+01,3.714505187031063027e-01
5.036181678214010731e+02,2.851818601657206642e+01,3.740898478074435318e-01
5.050577367205542600e+02,2.880304765274134482e+01,3.767496245967181245e-01
5.064973056197074470e+02,2.909215941006513972e+01,3.794497165568672115e-01
5.079368745188606340e+02,2.937605595033283734e+01,3.820666741767961283e-01
5.093764434180138778e+02,2.966316638254475180e+01,3.847105219527650055e-01
5.108160123171670648e+02,2.995447291049057981e+01,3.873937351381807059e-01
5.122555812163202518e+02,3.024027938214210209e+01,3.899909363342245472e-01
5.136951501154734387e+02,3.052990890570533011e+01,3.926227463061805478e-01
5.151347190146266257e+02,3.082356751084709146e+01,3.952915170982244653e-01
5.165742879137798127e+02,3.111051168071162465e+01,3.978595452867484394e-01
5.180138568129329997e+02,3.140147045889024113e+01,4.004644987888895113e-01
5.194534257120861866e+02,3.169624416958541246e+01,4.031035311914652475e-01
5.208929946112393736e+02,3.198428386475667651e+01,4.056425722898384101e-01
5.223325635103926743e+02,3.227626394728166304e+01,4.082174544606900213e-01
5.237721324095457476e+02,3.257211545882264403e+01,4.108270124195589901e-01
5.252117013086990482e+02,3.286099569712770574e+01,4.133345785644629844e-01
5.266512702078521215e+02,3.315373920039235145e+01,4.158768965285203900e-01
5.280908391070054222e+02,3.345040483882531390e+01,4.184544185611368539e-01
5.295304080061584955e+02,3.374015629790233817e+01,4.209316670670905647e-01
5.309699769053117961e+02,3.403341028851325234e+01,4.234390609327032262e-01
5.324095458044649831e+02,3.433050421861604917e+01,4.259805422632041427e-01
5.338491147036181701e+02,3.462157057524945003e+01,4.284337271661428082e-01
5.352886836027713571e+02,3.491539762240601874e+01,4.309077882278756211e-01
5.367282525019245440e+02,3.521298709818273664e+01,4.334148872462899038e-01
5.381678214010777310e+02,3.550549646614602040e+01,4.358462129171220556e-01
5.396073903002309180e+02,3.579975637541374311e+01,4.382859973355991423e-01
5.410469591993842187e+02,3.609770110408017985e+01,4.407577907788726712e-01
5.424865280985372920e+02,3.624742814999154206e+01,4.414115102766147936e-01
5.439260969976904789e+02,3.633584822524316138e+01,4.413171654564136404e-01
5.453656658968436659e+02,3.642460603681342235e+01,4.412274098587290472e-01
5.468052347959969666e+02,3.662881161712338240e+01,4.425329151519414861e-01
5.482448036951501535e+02,3.692277057840187382e+01,4.449130774189681281e-01
5.496843725943033405e+02,3.722030002757776401e+01,4.473236839619569860e-01
5.511239414934565275e+02,3.751816586557750810e+01,4.497257294585102483e-01
5.525635103926097145e+02,3.781472857439879220e+01,4.520996793155017679e-01
5.540030792917629014e+02,3.811483686195747822e+01,4.545035713757820117e-01
5.554426481909160884e+02,3.841657143288541221e+01,4.569143453493291762e-01
5.568822170900692754e+02,3.871447400987608489e+01,4.592671966899330438e-01
5.583217859892224624e+02,3.901587148505236513e+01,4.616492677566116365e-01
5.597613548883756494e+02,3.932081079694157921e+01,4.640608870759949656e-01
5.612009237875288363e+02,3.962016479485286169e+01,4.663943857122390124e-01
5.626404926866820233e+02,3.992288958500905238e+01,4.687555216289671645e-01
5.640800615858352103e+02,4.022910633208858400e+01,4.711455022569126516e-01
5.655196304849883973e+02,4.053129335810529454e+01,4.734762409919280879e-01
5.669591993841415842e+02,4.083430302181952953e+01,4.758047291900700526e-01
5.683987682832948849e+02,4.114073526144254345e+01,4.781612019228186905e-01
5.698383371824480719e+02,4.144639579804866969e+01,4.804968219385852835e-01
